AA:BB:CC,Vendor A,Field
CC:DD:EE,Vendor B,Wireshark
00:00:00,Officially Xerox often used elsewhere,Wireshark
00:00:01,Xerox Corporation,Wireshark
00:00:02,Xerox Corporation,Wireshark
00:00:03,Xerox Corporation,Wireshark
00:00:04,Xerox Corporation,Wireshark
00:00:05,Xerox Corporation,Wireshark
00:00:06,Xerox Corporation,Wireshark
00:00:07,Xerox Corporation,Wireshark
00:00:08,Xerox Corporation,Wireshark
00:00:09,powerpipes?,Wireshark
00:00:0A,Omron Tateisi Electronics Co.,Wireshark
00:00:0B,Matrix Corporation,Wireshark
00:00:0C,Cisco Systems Inc,Wireshark
00:00:0D,Fibronics Ltd.,Wireshark
00:00:0E,Fujitsu Limited,Wireshark
00:00:0F,Next Inc.,Wireshark
00:00:10,Sytek Inc.,Wireshark
00:00:11,Normerel Systemes,Wireshark
00:00:12,Information Technology Limited,Wireshark
00:00:13,Camex,Wireshark
00:00:14,Netronix,Wireshark
00:00:15,Datapoint Corporation,Wireshark
00:00:16,Du Pont Pixel Systems.,Wireshark
00:00:17,Oracle,Wireshark
00:00:18,# Appletalk/Ethernet Gateway,Wireshark
00:00:19,Applied Dynamics International,Wireshark
00:00:1A,Advanced Micro Devices,Wireshark
00:00:1B,Novell (now Eagle Technology),Wireshark
00:00:1C,Bell Technologies,Wireshark
00:00:1D,Cabletron Systems Inc.,Wireshark
00:00:1E,Telsist Industria Electronica,Wireshark
00:00:1F,Telco Systems Inc.,Wireshark
00:00:20,Dataindustrier Diab Ab,Wireshark
00:00:21,Sureman Comp. & Commun. Corp.,Wireshark
00:00:22,Visual Technology Inc.,Wireshark
00:00:23,ABB Automation AB Dept. Q,Wireshark
00:00:24,Connect As,Wireshark
00:00:25,Ramtek Corp.,Wireshark
00:00:26,Sha-Ken Co. Ltd.,Wireshark
00:00:27,Japan Radio Company,Wireshark
00:00:28,Prodigy Systems Corporation,Wireshark
00:00:29,Imc Networks Corp.,Wireshark
00:00:2A,Trw - Sedd/Inp,Wireshark
00:00:2B,Crisp Automation Inc,Wireshark
00:00:2C,Autotote Limited,Wireshark
00:00:2D,Chromatics Inc,Wireshark
00:00:2E,Societe Evira,Wireshark
00:00:2F,Timeplex Inc.,Wireshark
00:00:30,Vg Laboratory Systems Ltd,Wireshark
00:00:31,Qpsx Communications Ltd.,Wireshark
00:00:32,Marconi plc,Wireshark
00:00:33,Egan Machinery Company,Wireshark
00:00:34,Network Resources Corporation,Wireshark
00:00:35,Spectragraphics Corporation,Wireshark
00:00:36,Atari Corporation,Wireshark
00:00:37,Oxford Metrics Limited,Wireshark
00:00:38,Css Labs,Wireshark
00:00:39,Toshiba Corporation,Wireshark
00:00:3A,Chyron Corporation,Wireshark
00:00:3B,i Controls Inc.,Wireshark
00:00:3C,Auspex Systems Inc.,Wireshark
00:00:3D,Unisys,Wireshark
00:00:3E,Simpact,Wireshark
00:00:3F,Syntrex Inc.,Wireshark
00:00:40,Applicon Inc.,Wireshark
00:00:41,Ice Corporation,Wireshark
00:00:42,Metier Management Systems Ltd.,Wireshark
00:00:43,Micro Technology,Wireshark
00:00:44,Castelle Corporation,Wireshark
00:00:45,Ford Aerospace & Comm. Corp.,Wireshark
00:00:46,Olivetti North America,Wireshark
00:00:47,Nicolet Instruments Corp.,Wireshark
00:00:48,Seiko Epson Corporation,Wireshark
00:00:49,Apricot Computers Ltd,Wireshark
00:00:4A,Adc Codenoll Technology Corp.,Wireshark
00:00:4B,Icl Data Oy,Wireshark
00:00:4C,NEC Corporation,Wireshark
00:00:4D,Dci Corporation,Wireshark
00:00:4E,Ampex Corporation,Wireshark
00:00:4F,Logicraft 386-Ware P.C. Emulator,Wireshark
00:00:50,Radisys Corporation,Wireshark
00:00:51,Hob Electronic Gmbh & Co. Kg,Wireshark
00:00:52,Intrusion.com Inc.,Wireshark
00:00:53,Compucorp,Wireshark
00:00:54,Schneider Electric,Wireshark
00:00:55,Commissariat A L`Energie Atom.,Wireshark
00:00:56,Dr. B. Struck,Wireshark
00:00:57,Scitex Corporation Ltd.,Wireshark
00:00:58,Racore Computer Products Inc.,Wireshark
00:00:59,Hellige GMBH,Wireshark
00:00:5A,# (Schneider & Koch in Europe and Syskonnect outside of Europe),Wireshark
00:00:5B,Eltec Elektronik Ag,Wireshark
00:00:5C,Telematics International Inc.,Wireshark
00:00:5D,Cs Telecom,Wireshark
00:00:5E,ICANN IANA Department,Wireshark
00:00:5F,Sumitomo Electric Industries Ltd,Wireshark
00:00:60,Kontron Europe GmbH,Wireshark
00:00:61,Gateway Communications,Wireshark
00:00:62,Bull Hn Information Systems,Wireshark
00:00:63,Barco Control Rooms Gmbh,Wireshark
00:00:64,Yokogawa Digital Computer Corporation,Wireshark
00:00:65,Network General Corporation,Wireshark
00:00:66,Talaris Systems Inc.,Wireshark
00:00:67,Soft * Rite Inc.,Wireshark
00:00:68,Rosemount Controls,Wireshark
00:00:69,Concord Communications Inc,Wireshark
00:00:6A,Computer Consoles Inc.,Wireshark
00:00:6B,Silicon Graphics,Wireshark
00:00:6C,Private,Wireshark
00:00:6D,Cray Communications Ltd.,Wireshark
